"id","date","lc","lon","lat"
"160424_2014_141195",2014-07-17 23:28:00,"2",-69.792,40.6
"160424_2014_141195",2014-07-18 01:09:00,"1",-69.794,40.596
"160424_2014_141195",2014-07-18 01:39:00,"0",-69.778,40.597
"160424_2014_141195",2014-07-18 02:23:00,"3",-69.817,40.588
"160424_2014_141195",2014-07-19 02:02:00,"B",-69.81,40.693
"160424_2014_141195",2014-07-19 02:58:00,"B",-69.807,40.639
"160424_2014_141195",2014-07-19 03:50:00,"B",-69.766,40.635
"160424_2014_141195",2014-07-19 08:19:00,"B",-69.704,40.673
"160424_2014_141195",2014-07-19 09:22:00,"B",-69.8,40.678
"160424_2014_141195",2014-07-19 10:13:00,"B",-69.81,40.683
"160424_2014_141195",2014-07-20 00:04:00,"1",-69.947,40.659
"160424_2014_141195",2014-07-20 00:05:00,"3",-69.949,40.657
"160424_2014_141195",2014-07-20 05:52:00,"B",-70.036,40.633
"160424_2014_141195",2014-07-20 07:38:00,"B",-69.962,40.595
"160424_2014_141195",2014-07-20 09:12:00,"B",-70.03,40.596
"160424_2014_141195",2014-07-20 09:35:00,"B",-70.033,40.594
"160424_2014_141195",2014-07-20 11:42:00,"1",-69.971,40.55
"160424_2014_141195",2014-07-20 18:56:00,"1",-69.994,40.524
"160424_2014_141195",2014-07-20 19:22:00,"1",-70.013,40.531
"160424_2014_141195",2014-07-20 19:47:00,"3",-70.022,40.531
"160424_2014_141195",2014-07-20 21:00:00,"2",-70.022,40.536
"160424_2014_141195",2014-07-21 01:26:00,"B",-70.035,40.527
"160424_2014_141195",2014-07-21 05:42:00,"B",-70.04,40.495
"160424_2014_141195",2014-07-21 09:19:00,"B",-70.042,40.48
"160424_2014_141195",2014-07-21 10:51:00,"2",-70.033,40.506
"160424_2014_141195",2014-07-21 10:52:00,"3",-70.032,40.505
"160424_2014_141195",2014-07-21 11:29:00,"B",-70.032,40.505
"160424_2014_141195",2014-07-21 12:30:00,"B",-70.035,40.515
"160424_2014_141195",2014-07-21 13:45:00,"3",-70.012,40.507
"160424_2014_141195",2014-07-22 08:41:00,"B",-70.086,40.496
"160424_2014_141195",2014-07-22 09:38:00,"B",-70.107,40.506
"160424_2014_141195",2014-07-22 10:19:00,"B",-70.197,40.518
"160424_2014_141195",2014-07-22 10:31:00,"1",-70.151,40.518
"160424_2014_141195",2014-07-22 15:07:00,"B",-70.219,40.488
"160424_2014_141195",2014-07-22 16:00:00,"B",-70.371,40.481
"160424_2014_141195",2014-07-22 16:40:00,"B",-70.287,40.488
"160424_2014_141195",2014-07-22 16:53:00,"B",-70.274,40.493
"160424_2014_141195",2014-07-22 18:33:00,"2",-70.158,40.467
"160424_2014_141195",2014-07-23 00:00:00,"B",-70.059,40.467
"160424_2014_141195",2014-07-23 00:10:00,"2",-70.099,40.451
"160424_2014_141195",2014-07-23 00:41:00,"3",-70.096,40.449
"160424_2014_141195",2014-07-23 01:43:00,"B",-70.074,40.439
"160424_2014_141195",2014-07-23 08:39:00,"B",-69.963,40.404
"160424_2014_141195",2014-07-23 10:08:00,"0",-70.093,40.508
"160424_2014_141195",2014-07-23 11:08:00,"2",-70.136,40.534
"160424_2014_141195",2014-07-23 11:28:00,"2",-70.133,40.541
"160424_2014_141195",2014-07-23 12:56:00,"2",-70.121,40.544
"160424_2014_141195",2014-07-24 00:21:00,"2",-70.086,40.62
"160424_2014_141195",2014-07-24 01:16:00,"B",-70.082,40.619
"160424_2014_141195",2014-07-24 03:44:00,"B",-70.014,40.62
"160424_2014_141195",2014-07-24 05:04:00,"B",-69.997,40.605
"160424_2014_141195",2014-07-24 06:52:00,"0",-70.037,40.544
"160424_2014_141195",2014-07-24 08:25:00,"1",-70.049,40.53
"160424_2014_141195",2014-07-24 09:12:00,"0",-70.057,40.511
"160424_2014_141195",2014-07-24 09:14:00,"A",-70.059,40.518
"160424_2014_141195",2014-07-24 09:36:00,"1",-70.056,40.521
"160424_2014_141195",2014-07-25 03:23:00,"B",-70.132,40.473
"160424_2014_141195",2014-07-25 07:24:00,"B",-70.052,40.569
"160424_2014_141195",2014-07-25 09:10:00,"A",-70.152,40.603
"160424_2014_141195",2014-07-25 09:17:00,"A",-70.178,40.611
"160424_2014_141195",2014-07-25 10:21:00,"2",-70.21,40.63
"160424_2014_141195",2014-07-25 10:44:00,"2",-70.213,40.64
"160424_2014_141195",2014-07-25 10:50:00,"A",-70.211,40.638
"160424_2014_141195",2014-07-25 12:04:00,"1",-70.222,40.655
"160424_2014_141195",2014-07-26 00:18:00,"1",-70.192,40.751
"160424_2014_141195",2014-07-26 00:35:00,"3",-70.189,40.753
"160424_2014_141195",2014-07-26 01:23:00,"A",-70.186,40.745
"160424_2014_141195",2014-07-26 02:19:00,"B",-70.19,40.749
"160424_2014_141195",2014-07-26 02:59:00,"1",-70.119,40.714
"160424_2014_141195",2014-07-26 06:21:00,"B",-70.019,40.651
"160424_2014_141195",2014-07-26 07:15:00,"B",-70.003,40.634
"160424_2014_141195",2014-07-26 09:53:00,"3",-70.114,40.583
"160424_2014_141195",2014-07-26 10:28:00,"2",-70.111,40.584
"160424_2014_141195",2014-07-26 10:34:00,"2",-70.111,40.586
"160424_2014_141195",2014-07-27 00:14:00,"B",-70.135,40.463
"160424_2014_141195",2014-07-27 01:22:00,"B",-70.131,40.472
"160424_2014_141195",2014-07-27 01:52:00,"A",-70.105,40.5
"160424_2014_141195",2014-07-27 02:36:00,"A",-70.104,40.477
"160424_2014_141195",2014-07-27 06:15:00,"B",-70.091,40.484
"160424_2014_141195",2014-07-27 08:50:00,"B",-70.08,40.455
"160424_2014_141195",2014-07-27 10:07:00,"B",-70.079,40.457
"160424_2014_141195",2014-07-27 11:00:00,"3",-70.072,40.458
"160424_2014_141195",2014-07-28 09:39:00,"2",-69.797,40.426
"160424_2014_141195",2014-07-28 10:09:00,"3",-69.801,40.421
"160424_2014_141195",2014-07-28 10:32:00,"2",-69.797,40.423
"160424_2014_141195",2014-07-28 11:17:00,"2",-69.819,40.424
"160424_2014_141195",2014-07-28 12:07:00,"B",-69.824,40.42
"160424_2014_141195",2014-07-29 00:21:00,"B",-69.689,40.504
"160424_2014_141195",2014-07-29 00:22:00,"B",-69.682,40.501
"160424_2014_141195",2014-07-29 01:14:00,"B",-69.698,40.488
"160424_2014_141195",2014-07-29 05:47:00,"3",-69.565,40.498
"160424_2014_141195",2014-07-29 07:39:00,"B",-69.532,40.475
"160424_2014_141195",2014-07-29 08:24:00,"B",-69.519,40.472
"160424_2014_141195",2014-07-29 09:17:00,"B",-69.497,40.456
"160424_2014_141195",2014-07-29 09:58:00,"2",-69.472,40.453
"160424_2014_141195",2014-07-29 10:59:00,"2",-69.473,40.443
"160424_2014_141195",2014-07-30 00:02:00,"B",-69.284,40.465
"160424_2014_141195",2014-07-30 00:54:00,"B",-69.332,40.454
"160424_2014_141195",2014-07-30 07:51:00,"B",-69.239,40.419
"160424_2014_141195",2014-07-30 10:37:00,"B",-69.13,40.506
"160424_2014_141195",2014-07-30 11:01:00,"B",-69.118,40.509
"160424_2014_141195",2014-07-30 14:02:00,"B",-69.047,40.521
"160424_2014_141195",2014-07-30 14:44:00,"B",-69.185,40.487
"160424_2014_141195",2014-07-30 15:39:00,"B",-69.252,40.511
"160424_2014_141195",2014-07-30 18:00:00,"B",-69.394,40.537
"160424_2014_141195",2014-07-30 18:55:00,"B",-69.34,40.553
"160424_2014_141195",2014-07-30 19:40:00,"B",-69.464,40.555
"160424_2014_141195",2014-07-30 21:12:00,"A",-69.265,40.659
"160424_2014_141195",2014-07-30 21:38:00,"1",-69.261,40.665
"160424_2014_141195",2014-07-30 21:58:00,"A",-69.261,40.661
"160424_2014_141195",2014-07-30 23:13:00,"B",-69.258,40.703
"160424_2014_141195",2014-07-31 00:29:00,"B",-69.257,40.715
"160424_2014_141195",2014-07-31 01:24:00,"A",-69.28,40.713
"160424_2014_141195",2014-07-31 02:55:00,"B",-69.365,40.652
"160424_2014_141195",2014-07-31 05:31:00,"A",-69.319,40.665
"160424_2014_141195",2014-07-31 07:06:00,"B",-69.337,40.671
"160424_2014_141195",2014-07-31 09:34:00,"2",-69.243,40.597
"160424_2014_141195",2014-07-31 10:02:00,"B",-69.24,40.597
"160424_2014_141195",2014-07-31 11:42:00,"B",-69.243,40.584
"160424_2014_141195",2014-07-31 12:16:00,"0",-69.353,40.548
"160424_2014_141195",2014-08-01 00:08:00,"B",-70.017,40.371
"160424_2014_141195",2014-08-01 00:57:00,"B",-69.824,40.256
"160424_2014_141195",2014-08-01 02:42:00,"B",-69.767,40.157
"160424_2014_141195",2014-08-01 07:48:00,"B",-69.536,40.397
"160424_2014_141195",2014-08-01 09:26:00,"A",-69.564,40.422
"160424_2014_141195",2014-08-01 10:06:00,"1",-69.604,40.423
"160424_2014_141195",2014-08-01 15:00:00,"1",-69.692,40.396
"160424_2014_141195",2014-08-01 15:51:00,"B",-69.689,40.413
"160424_2014_141195",2014-08-02 00:34:00,"B",-69.682,40.433
"160424_2014_141195",2014-08-02 01:34:00,"B",-69.694,40.442
"160424_2014_141195",2014-08-02 05:07:00,"B",-69.726,40.478
"160424_2014_141195",2014-08-02 06:44:00,"0",-69.669,40.572
"160424_2014_141195",2014-08-02 07:36:00,"1",-69.678,40.596
"160424_2014_141195",2014-08-02 08:26:00,"B",-69.685,40.604
"160424_2014_141195",2014-08-02 09:18:00,"B",-69.696,40.624
"160424_2014_141195",2014-08-02 09:19:00,"A",-69.701,40.617
"160424_2014_141195",2014-08-02 09:37:00,"B",-69.706,40.625
"160424_2014_141195",2014-08-03 00:12:00,"1",-69.903,40.659
"160424_2014_141195",2014-08-03 01:10:00,"B",-69.902,40.656
"160424_2014_141195",2014-08-03 04:55:00,"B",-69.915,40.685
"160424_2014_141195",2014-08-03 06:37:00,"B",-69.915,40.636
"160424_2014_141195",2014-08-03 08:50:00,"B",-69.919,40.638
"160424_2014_141195",2014-08-03 09:07:00,"B",-69.894,40.613
"160424_2014_141195",2014-08-03 09:08:00,"B",-69.925,40.57
"160424_2014_141195",2014-08-03 12:14:00,"B",-69.939,40.536
"160424_2014_141195",2014-08-03 13:23:00,"B",-69.906,40.521
"160424_2014_141195",2014-08-04 01:41:00,"B",-69.899,40.419
"160424_2014_141195",2014-08-04 06:33:00,"B",-69.909,40.407
"160424_2014_141195",2014-08-04 07:12:00,"B",-69.95,40.504
"160424_2014_141195",2014-08-04 08:05:00,"B",-70.003,40.508
"160424_2014_141195",2014-08-04 08:32:00,"B",-70.003,40.508
"160424_2014_141195",2014-08-04 08:33:00,"A",-69.985,40.505
"160424_2014_141195",2014-08-04 08:50:00,"0",-70.008,40.511
"160424_2014_141195",2014-08-04 10:04:00,"2",-70.005,40.522
"160424_2014_141195",2014-08-04 10:10:00,"1",-70.011,40.517
"160424_2014_141195",2014-08-04 10:32:00,"2",-69.988,40.521
"160424_2014_141195",2014-08-05 00:03:00,"1",-70.094,40.524
"160424_2014_141195",2014-08-05 00:28:00,"B",-70.094,40.524
"160424_2014_141195",2014-08-05 09:32:00,"B",-70.233,40.634
"160424_2014_141195",2014-08-05 10:25:00,"A",-70.243,40.59
"160424_2014_141195",2014-08-05 15:06:00,"B",-70.413,40.644
"160424_2014_141195",2014-08-05 16:05:00,"B",-70.351,40.557
"160424_2014_141195",2014-08-05 16:08:00,"B",-70.319,40.564
"160424_2014_141195",2014-08-05 17:47:00,"B",-70.357,40.574
"160424_2014_141195",2014-08-05 20:04:00,"B",-70.321,40.57
"160424_2014_141195",2014-08-05 20:58:00,"B",-70.376,40.583
"160424_2014_141195",2014-08-06 06:08:00,"B",-70.324,40.6
"160424_2014_141195",2014-08-06 13:08:00,"A",-70.087,40.53
"160424_2014_141195",2014-08-06 14:49:00,"0",-69.998,40.523
"160424_2014_141195",2014-08-06 15:49:00,"B",-69.997,40.524
"160424_2014_141195",2014-08-07 00:36:00,"A",-69.839,40.526
"160424_2014_141195",2014-08-07 08:52:00,"B",-69.784,40.442
"160424_2014_141195",2014-08-07 09:56:00,"3",-69.736,40.471
"160424_2014_141195",2014-08-07 10:33:00,"1",-69.717,40.466
"160424_2014_141195",2014-08-07 16:07:00,"B",-69.571,40.468
"160424_2014_141195",2014-08-07 17:26:00,"B",-69.614,40.482
"160424_2014_141195",2014-08-07 18:09:00,"B",-69.601,40.481
"160424_2014_141195",2014-08-08 00:03:00,"B",-69.465,40.494
"160424_2014_141195",2014-08-08 01:55:00,"B",-69.449,40.5
"160424_2014_141195",2014-08-08 08:07:00,"B",-69.246,40.434
"160424_2014_141195",2014-08-08 08:08:00,"B",-69.42,40.349
"160424_2014_141195",2014-08-08 09:40:00,"0",-69.427,40.332
"160424_2014_141195",2014-08-08 13:22:00,"B",-69.369,40.318
"160424_2014_141195",2014-08-08 19:32:00,"2",-69.238,40.217
"160424_2014_141195",2014-08-08 21:35:00,"A",-69.263,40.188
"160424_2014_141195",2014-08-09 01:31:00,"B",-69.222,40.169
"160424_2014_141195",2014-08-09 08:52:00,"B",-69.189,40.089
"160424_2014_141195",2014-08-09 09:35:00,"1",-69.123,40.007
"160424_2014_141195",2014-08-09 09:39:00,"B",-69.123,40.007
"160424_2014_141195",2014-08-09 13:56:00,"B",-68.915,39.778
"160424_2014_141195",2014-08-09 16:54:00,"B",-68.761,39.63
"160424_2014_141195",2014-08-09 21:23:00,"B",-69.01,39.818
"160424_2014_141195",2014-08-10 14:28:00,"B",-68.689,39.424
"160424_2014_141195",2014-08-10 18:29:00,"B",-68.709,39.796
"160424_2014_141195",2014-08-10 19:15:00,"B",-68.943,39.767
"160424_2014_141195",2014-08-10 20:49:00,"A",-69.325,39.833
"160424_2014_141195",2014-08-11 01:43:00,"B",-69.325,39.834
"160424_2014_141195",2014-08-11 05:13:00,"B",-69.624,39.864
"160424_2014_141195",2014-08-11 11:29:00,"2",-69.45,39.827
"160424_2014_141195",2014-08-11 14:01:00,"B",-69.617,39.816
"160424_2014_141195",2014-08-11 15:44:00,"A",-69.48,39.782
"160424_2014_141195",2014-08-12 05:01:00,"B",-69.756,39.675
"160424_2014_141195",2014-08-12 09:07:00,"B",-69.743,39.686
"160424_2014_141195",2014-08-12 10:43:00,"2",-69.64,39.74
"160424_2014_141195",2014-08-12 10:57:00,"3",-69.645,39.739
"160424_2014_141195",2014-08-12 15:18:00,"A",-69.627,39.771
"160424_2014_141195",2014-08-13 00:07:00,"1",-69.581,39.795
"160424_2014_141195",2014-08-13 00:45:00,"B",-69.576,39.799
"160424_2014_141195",2014-08-13 06:35:00,"B",-69.537,39.832
"160424_2014_141195",2014-08-13 08:51:00,"B",-69.512,39.851
"160424_2014_141195",2014-08-13 14:11:00,"2",-69.495,39.813
"160424_2014_141195",2014-08-13 15:49:00,"1",-69.475,39.803
"160424_2014_141195",2014-08-13 16:12:00,"A",-69.488,39.82
"160424_2014_141195",2014-08-13 17:57:00,"1",-69.449,39.809
"160424_2014_141195",2014-08-13 19:35:00,"A",-69.459,39.828
"160424_2014_141195",2014-08-14 00:19:00,"0",-69.42,39.8
"160424_2014_141195",2014-08-14 02:20:00,"B",-69.394,39.791
"160424_2014_141195",2014-08-14 03:11:00,"A",-69.374,39.735
"160424_2014_141195",2014-08-14 06:12:00,"B",-69.319,39.67
"160424_2014_141195",2014-08-14 09:19:00,"1",-69.412,39.664
"160424_2014_141195",2014-08-14 10:22:00,"A",-69.383,39.672
"160424_2014_141195",2014-08-14 10:57:00,"2",-69.392,39.678
"160424_2014_141195",2014-08-14 11:33:00,"A",-69.384,39.666
"160424_2014_141195",2014-08-15 01:27:00,"B",-69.275,39.623
"160424_2014_141195",2014-08-15 07:52:00,"B",-69.23,39.589
"160424_2014_141195",2014-08-15 12:15:00,"B",-69.172,39.644
"160424_2014_141195",2014-08-15 13:25:00,"1",-69.095,39.631
"160424_2014_141195",2014-08-15 14:14:00,"3",-69.101,39.637
"160424_2014_141195",2014-08-15 17:27:00,"B",-69.037,39.65
"160424_2014_141195",2014-08-16 01:41:00,"0",-68.886,39.558
"160424_2014_141195",2014-08-16 08:16:00,"B",-68.803,39.491
"160424_2014_141195",2014-08-16 09:56:00,"1",-68.821,39.474
"160424_2014_141195",2014-08-16 10:12:00,"B",-68.821,39.474
"160424_2014_141195",2014-08-16 10:35:00,"B",-68.818,39.472
"160424_2014_141195",2014-08-16 11:48:00,"B",-68.815,39.475
"160424_2014_141195",2014-08-16 13:04:00,"B",-68.828,39.458
"160424_2014_141195",2014-08-17 11:27:00,"A",-68.64,39.307
"160424_2014_141195",2014-08-17 11:38:00,"0",-68.647,39.308
"160424_2014_141195",2014-08-17 14:28:00,"1",-68.653,39.281
"160424_2014_141195",2014-08-17 16:04:00,"B",-68.648,39.269
"160424_2014_141195",2014-08-17 19:34:00,"B",-68.615,39.231
"160424_2014_141195",2014-08-18 00:09:00,"B",-68.599,39.195
"160424_2014_141195",2014-08-18 00:58:00,"B",-68.6,39.194
"160424_2014_141195",2014-08-18 09:20:00,"B",-68.538,39.064
"160424_2014_141195",2014-08-18 11:05:00,"2",-68.523,39.099
"160424_2014_141195",2014-08-18 11:07:00,"2",-68.524,39.1
"160424_2014_141195",2014-08-18 14:07:00,"B",-68.501,39.095
"160424_2014_141195",2014-08-18 14:57:00,"B",-68.512,39.109
"160424_2014_141195",2014-08-19 10:39:00,"B",-68.476,39.243
"160424_2014_141195",2014-08-19 10:42:00,"B",-68.472,39.26
"160424_2014_141195",2014-08-20 01:53:00,"B",-68.594,39.423
"160424_2014_141195",2014-08-20 02:44:00,"B",-68.619,39.417
"160424_2014_141195",2014-08-20 06:47:00,"B",-68.612,39.505
"160424_2014_141195",2014-08-20 11:45:00,"B",-68.621,39.55
"160424_2014_141195",2014-08-20 13:22:00,"2",-68.618,39.545
"160424_2014_141195",2014-08-21 01:36:00,"B",-68.638,39.641
"160424_2014_141195",2014-08-21 11:26:00,"B",-68.772,39.665
"160424_2014_141195",2014-08-21 12:56:00,"1",-68.818,39.682
"160424_2014_141195",2014-08-21 14:43:00,"A",-68.872,39.688
"160424_2014_141195",2014-08-22 06:25:00,"2",-68.986,39.571
"160424_2014_141195",2014-08-22 08:16:00,"B",-69.018,39.576
"160424_2014_141195",2014-08-22 09:07:00,"B",-68.988,39.564
"160424_2014_141195",2014-08-22 10:28:00,"B",-68.985,39.554
"160424_2014_141195",2014-08-22 10:48:00,"A",-68.994,39.519
"160424_2014_141195",2014-08-22 16:16:00,"B",-69.039,39.49
"160424_2014_141195",2014-08-22 17:49:00,"B",-69.049,39.483
"160424_2014_141195",2014-08-22 19:40:00,"B",-69.06,39.46
"160424_2014_141195",2014-08-23 00:06:00,"A",-69.088,39.401
"160424_2014_141195",2014-08-23 02:30:00,"B",-69.085,39.372
"160424_2014_141195",2014-08-23 06:24:00,"A",-69.118,39.327
"160424_2014_141195",2014-08-23 08:33:00,"B",-69.142,39.307
"160424_2014_141195",2014-08-23 10:37:00,"1",-69.141,39.279
"160424_2014_141195",2014-08-24 00:02:00,"B",-69.174,39.138
"160424_2014_141195",2014-08-24 01:15:00,"1",-69.218,39.189
"160424_2014_141195",2014-08-24 06:03:00,"2",-69.183,39.147
"160424_2014_141195",2014-08-24 08:23:00,"2",-69.176,39.114
"160424_2014_141195",2014-08-24 08:36:00,"1",-69.184,39.112
"160424_2014_141195",2014-08-24 09:36:00,"B",-69.181,39.102
"160424_2014_141195",2014-08-25 00:57:00,"B",-69.202,39.046
"160424_2014_141195",2014-08-25 05:54:00,"3",-69.131,38.963
"160424_2014_141195",2014-08-25 08:21:00,"B",-69.128,38.935
"160424_2014_141195",2014-08-25 10:00:00,"B",-69.124,38.904
"160424_2014_141195",2014-08-26 10:17:00,"B",-69.094,38.52
"160424_2014_141195",2014-08-26 11:02:00,"1",-69.264,38.563
"160424_2014_141195",2014-08-26 11:26:00,"B",-69.291,38.566
"160424_2014_141195",2014-08-27 10:45:00,"B",-69.24,38.371
"160424_2014_141195",2014-08-27 11:14:00,"B",-69.38,38.367
"160424_2014_141195",2014-08-27 11:26:00,"B",-69.457,38.317
"160424_2014_141195",2014-08-27 19:22:00,"1",-69.527,38.226
"160424_2014_141195",2014-08-28 07:01:00,"0",-69.35,38.045
"160424_2014_141195",2014-08-28 14:02:00,"3",-69.164,37.981
"160424_2014_141195",2014-08-29 00:33:00,"B",-69.019,37.874
"160424_2014_141195",2014-08-29 12:01:00,"B",-68.943,37.979
"160424_2014_141195",2014-08-29 15:23:00,"0",-67.824,38.18
"160424_2014_141195",2014-08-29 20:34:00,"0",-67.566,38.309
"160424_2014_141195",2014-08-29 20:57:00,"B",-67.566,38.309
"160424_2014_141195",2014-08-30 11:04:00,"B",-66.643,38.398
"160424_2014_141195",2014-08-30 13:11:00,"B",-66.7,38.536
"160424_2014_141195",2014-08-31 10:38:00,"B",-66.698,38.655
"160424_2014_141195",2014-08-31 16:14:00,"B",-66.698,38.655
"160424_2014_141195",2014-08-31 22:01:00,"B",-66.761,38.663
"160424_2014_141195",2014-09-01 06:16:00,"2",-66.849,38.715
"160424_2014_141195",2014-09-01 08:00:00,"1",-66.861,38.707
"160424_2014_141195",2014-09-01 08:40:00,"2",-66.878,38.707
"160424_2014_141195",2014-09-01 08:41:00,"1",-66.879,38.703
"160424_2014_141195",2014-09-01 08:45:00,"B",-66.88,38.705
"160424_2014_141195",2014-09-01 15:51:00,"B",-66.917,38.724
"160424_2014_141195",2014-09-02 03:16:00,"1",-66.892,38.661
"160424_2014_141195",2014-09-02 06:08:00,"1",-66.873,38.627
"160424_2014_141195",2014-09-02 08:11:00,"B",-66.873,38.621
"160424_2014_141195",2014-09-02 08:22:00,"B",-66.874,38.621
"160424_2014_141195",2014-09-02 08:27:00,"A",-66.882,38.599
"160424_2014_141195",2014-09-02 22:11:00,"B",-66.909,38.563
"160424_2014_141195",2014-09-03 07:35:00,"A",-66.972,38.66
"160424_2014_141195",2014-09-03 15:44:00,"B",-66.995,38.666
"160424_2014_141195",2014-09-03 18:02:00,"B",-66.991,38.667
"160424_2014_141195",2014-09-03 19:39:00,"B",-67.023,38.66
"160424_2014_141195",2014-09-03 20:43:00,"B",-67.03,38.645
"160424_2014_141195",2014-09-04 07:23:00,"B",-67.123,38.592
"160424_2014_141195",2014-09-04 13:11:00,"B",-67.094,38.498
"160424_2014_141195",2014-09-04 22:48:00,"B",-67.002,38.434
"160424_2014_141195",2014-09-06 18:32:00,"B",-67.466,38.097
"160424_2014_141195",2014-09-06 23:29:00,"B",-67.496,38.623
"160424_2014_141195",2014-09-07 01:03:00,"B",-67.622,38.841
"160424_2014_141195",2014-09-07 08:33:00,"B",-68.013,38.896
"160424_2014_141195",2014-09-07 09:25:00,"B",-67.87,38.868
"160424_2014_141195",2014-09-07 10:41:00,"1",-67.765,38.843
"160424_2014_141195",2014-09-07 13:51:00,"A",-67.788,38.821
"160424_2014_141195",2014-09-07 14:44:00,"A",-67.795,38.828
"160424_2014_141195",2014-09-08 02:57:00,"B",-67.681,38.891
"160424_2014_141195",2014-09-08 10:37:00,"B",-67.942,38.754
"160424_2014_141195",2014-09-08 10:44:00,"B",-67.907,38.801
"160424_2014_141195",2014-09-08 13:33:00,"B",-68.292,39.193
"160424_2014_141195",2014-09-08 15:11:00,"A",-68.401,39.231
"160424_2014_141195",2014-09-08 20:23:00,"B",-68.475,39.352
"160424_2014_141195",2014-09-08 20:26:00,"B",-68.468,39.354
"160424_2014_141195",2014-09-09 00:49:00,"2",-68.659,39.43
"160424_2014_141195",2014-09-09 02:30:00,"1",-68.661,39.488
"160424_2014_141195",2014-09-09 08:51:00,"1",-68.683,39.663
"160424_2014_141195",2014-09-10 06:27:00,"B",-68.963,40.284
"160424_2014_141195",2014-09-10 08:01:00,"B",-68.868,40.034
"160424_2014_141195",2014-09-10 08:42:00,"B",-68.855,40.001
"160424_2014_141195",2014-09-10 09:05:00,"B",-68.845,39.979
